	Classifier	Threshold	FAR	FRR
114	"[[ 0]
 [ 4]
 [ 8]
 [11]]"	17888.94	9.9610468009022e-05	0.11446809343854633
115	"[[0]
 [4]
 [8]]"	13836.73	9.9610468009022e-05	0.14501380431164457
116	"[[ 0]
 [ 4]
 [ 9]
 [10]]"	17893.17	9.9610468009022e-05	0.11685692467349376
117	"[[ 0]
 [ 4]
 [ 9]
 [11]]"	18124.71	9.9610468009022e-05	0.1190891112372971
118	"[[0]
 [4]
 [9]]"	14068.920000000002	9.9610468009022e-05	0.15402087290242994
119	"[[ 0]
 [ 4]
 [10]
 [11]]"	18350.88	9.9610468009022e-05	0.1600908539092636
120	"[[ 0]
 [ 4]
 [10]]"	13712.55	9.9610468009022e-05	0.15233694268763096
121	"[[ 0]
 [ 4]
 [11]]"	13928.279999999999	9.9610468009022e-05	0.15633138180180534
122	"[[ 0]
 [ 4]
 [12]]"	14546.79	9.9610468009022e-05	0.1554502555266198
123	"[[ 0]
 [ 4]
 [13]]"	14593.619999999999	9.9610468009022e-05	0.16588670674159503
124	"[[0]
 [4]]"	9798.869999999999	9.9610468009022e-05	0.2208102445614928
125	"[[0]
 [5]
 [6]
 [8]]"	18557.56	9.9610468009022e-05	0.1259814767676372
126	"[[0]
 [5]
 [6]
 [9]]"	18765.85	9.9610468009022e-05	0.12925143427777017
127	"[[ 0]
 [ 5]
 [ 6]
 [10]]"	18468.65	9.9610468009022e-05	0.13052417223081592
128	"[[ 0]
 [ 5]
 [ 6]
 [11]]"	18658.71	9.9610468009022e-05	0.13073955865363907
129	"[[0]
 [5]
 [6]]"	14480.3	9.9610468009022e-05	0.15870063245285976
130	"[[0]
 [5]
 [7]
 [8]]"	18657.670000000002	9.9610468009022e-05	0.12858569442540776
131	"[[0]
 [5]
 [7]
 [9]]"	18887.77	9.9610468009022e-05	0.13312838988858647
132	"[[ 0]
 [ 5]
 [ 7]
 [10]]"	18559.02	9.9610468009022e-05	0.134009516163772
133	"[[ 0]
 [ 5]
 [ 7]
 [11]]"	18779.48	9.9610468009022e-05	0.135713026962464
134	"[[0]
 [5]
 [7]]"	14572.21	9.9610468009022e-05	0.16657202717785044
135	"[[0]
 [5]
 [8]
 [9]]"	18502.57	9.9610468009022e-05	0.1358696716336081
136	"[[ 0]
 [ 5]
 [ 8]
 [10]]"	17731.85	9.9610468009022e-05	0.10765405024377826
137	"[[ 0]
 [ 5]
 [ 8]
 [11]]"	17974.82	9.9610468009022e-05	0.10994497855926064
138	"[[0]
 [5]
 [8]]"	13951.42	9.9610468009022e-05	0.1437214857747058
139	"[[ 0]
 [ 5]
 [ 9]
 [10]]"	17979.21	9.9610468009022e-05	0.11282332439153335
140	"[[ 0]
 [ 5]
 [ 9]
 [11]]"	18227.79	9.9610468009022e-05	0.11579957314327113
141	"[[0]
 [5]
 [9]]"	14159.78	9.9610468009022e-05	0.15059427072115292
142	"[[ 0]
 [ 5]
 [10]
 [11]]"	18506.41	9.9610468009022e-05	0.16441816294961917
143	"[[ 0]
 [ 5]
 [10]]"	13822.429999999998	9.9610468009022e-05	0.1527677155332772
144	"[[ 0]
 [ 5]
 [11]]"	14027.3	9.9610468009022e-05	0.15499990209708053
145	"[[ 0]
 [ 5]
 [12]]"	14623.310000000001	9.9610468009022e-05	0.15255232911045408
146	"[[ 0]
 [ 5]
 [13]]"	14671.81	9.9610468009022e-05	0.16216639580192282
147	"[[0]
 [5]]"	9871.810000000001	9.9610468009022e-05	0.22419768557498385
148	"[[0]
 [6]
 [7]
 [8]
 [9]]"	23139.649999999998	9.9610468009022e-05	0.11505551095533668
149	"[[ 0]
 [ 6]
 [ 7]
 [ 8]
 [10]]"	22570.39	9.9610468009022e-05	0.10348338587456678
150	"[[ 0]
 [ 6]
 [ 7]
 [ 8]
 [11]]"	22806.06	9.9610468009022e-05	0.10506941316990073
151	"[[0]
 [6]
 [7]
 [8]]"	18681.86	9.9610468009022e-05	0.12190871531789078
152	"[[ 0]
 [ 6]
 [ 7]
 [ 9]
 [10]]"	22816.890000000003	9.9610468009022e-05	0.10710579389477394
153	"[[ 0]
 [ 6]
 [ 7]
 [ 9]
 [11]]"	23075.57	9.9610468009022e-05	0.10925965812300523
154	"[[0]
 [6]
 [7]
 [9]]"	18903.300000000003	9.9610468009022e-05	0.12574650976092108
155	"[[ 0]
 [ 6]
 [ 7]
 [10]
 [11]]"	23152.04	9.9610468009022e-05	0.1315032014254665
156	"[[ 0]
 [ 6]
 [ 7]
 [10]]"	18625.170000000002	9.9610468009022e-05	0.12927101486166317
157	"[[ 0]
 [ 6]
 [ 7]
 [11]]"	18856.260000000002	9.9610468009022e-05	0.13228642478118696
158	"[[ 0]
 [ 6]
 [ 7]
 [12]]"	19346.95	9.9610468009022e-05	0.12768498756632923
159	"[[ 0]
 [ 6]
 [ 7]
 [13]]"	19432.809999999998	9.9610468009022e-05	0.13367664623759082
160	"[[0]
 [6]
 [7]]"	14664.419999999998	9.9610468009022e-05	0.1574670556676
161	"[[ 0]
 [ 6]
 [ 8]
 [ 9]
 [10]]"	22098.06	9.9610468009022e-05	0.09498541246499971
162	"[[ 0]
 [ 6]
 [ 8]
 [ 9]
 [11]]"	22361.84	9.9610468009022e-05	0.09794208063284447
163	"[[0]
 [6]
 [8]
 [9]]"	18359.92	9.9610468009022e-05	0.11936323941179926
164	"[[ 0]
 [ 6]
 [ 8]
 [10]
 [11]]"	22150.24	9.9610468009022e-05	0.10371835288128292
165	"[[ 0]
 [ 6]
 [ 8]
 [10]]"	17634.4	9.9610468009022e-05	0.09780501654559338
166	"[[ 0]
 [ 6]
 [ 8]
 [11]]"	17917.91	9.9610468009022e-05	0.10191693916312584
167	"[[ 0]
 [ 6]
 [ 8]
 [12]]"	18517.15	9.9610468009022e-05	0.10824146776056862
168	"[[ 0]
 [ 6]
 [ 8]
 [13]]"	18581.690000000002	9.9610468009022e-05	0.10984707563979558
169	"[[0]
 [6]
 [8]]"	13788.66	9.9610468009022e-05	0.12069471911652406
170	"[[ 0]
 [ 6]
 [ 9]
 [10]
 [11]]"	22415.05	9.9610468009022e-05	0.10884846586125198
171	"[[ 0]
 [ 6]
 [ 9]
 [10]]"	17897.019999999997	9.9610468009022e-05	0.10224980908930704
172	"[[ 0]
 [ 6]
 [ 9]
 [11]]"	18147.16	9.9610468009022e-05	0.10448199565311038
173	"[[ 0]
 [ 6]
 [ 9]
 [12]]"	18747.8	9.9610468009022e-05	0.11119813592841339
174	"[[ 0]
 [ 6]
 [ 9]
 [13]]"	18809.43	9.9610468009022e-05	0.11278416322374733
175	"[[0]
 [6]
 [9]]"	14029.779999999999	9.9610468009022e-05	0.12635350786160443
176	"[[ 0]
 [ 6]
 [10]
 [11]]"	18395.85	9.9610468009022e-05	0.14240958665387402
177	"[[ 0]
 [ 6]
 [10]
 [12]]"	18403.52	9.9610468009022e-05	0.11002330089483268
178	"[[ 0]
 [ 6]
 [10]
 [13]]"	18480.32	9.9610468009022e-05	0.11311703314992853
179	"[[ 0]
 [ 6]
 [10]]"	13746.349999999999	9.9610468009022e-05	0.1311311703314993
180	"[[ 0]
 [ 6]
 [11]
 [12]]"	18638.28	9.9610468009022e-05	0.11186387578077578
181	"[[ 0]
 [ 6]
 [11]
 [13]]"	18683.43	9.9610468009022e-05	0.11425270701572321
182	"[[ 0]
 [ 6]
 [11]]"	13958.05	9.9610468009022e-05	0.13291300346576335
183	"[[ 0]
 [ 6]
 [12]]"	14453.92	9.9610468009022e-05	0.12874233909655186
184	"[[ 0]
 [ 6]
 [13]]"	14542.31	9.9610468009022e-05	0.1355368017074269
185	"[[0]
 [6]]"	9711.01	9.9610468009022e-05	0.16185310645963463
186	"[[ 0]
 [ 7]
 [ 8]
 [ 9]
 [10]]"	22205.050000000003	9.9610468009022e-05	0.09477002604217657
187	"[[ 0]
 [ 7]
 [ 8]
 [ 9]
 [11]]"	22477.399999999994	9.9610468009022e-05	0.0984903369818488
188	"[[0]
 [7]
 [8]
 [9]]"	18453.1	9.9610468009022e-05	0.12114507254606333
189	"[[ 0]
 [ 7]
 [ 8]
 [10]
 [11]]"	22271.43	9.9610468009022e-05	0.10563725010279806
190	"[[ 0]
 [ 7]
 [ 8]
 [10]]"	17760.0	9.9610468009022e-05	0.09921481858589024
191	"[[ 0]
 [ 7]
 [ 8]
 [11]]"	17982.86	9.9610468009022e-05	0.10019384778054082
192	"[[ 0]
 [ 7]
 [ 8]
 [12]]"	18641.04	9.9610468009022e-05	0.11012120381429774
193	"[[ 0]
 [ 7]
 [ 8]
 [13]]"	18676.64	9.9610468009022e-05	0.11045407374047894
194	"[[0]
 [7]
 [8]]"	13876.28	9.9610468009022e-05	0.12263319692193221
195	"[[ 0]
 [ 7]
 [ 9]
 [10]
 [11]]"	22535.32	9.9610468009022e-05	0.11141352235123651
196	"[[ 0]
 [ 7]
 [ 9]
 [10]]"	18004.95	9.9610468009022e-05	0.10307219361281353
197	"[[ 0]
 [ 7]
 [ 9]
 [11]]"	18236.79	9.9610468009022e-05	0.10424702864639424
198	"[[ 0]
 [ 7]
 [ 9]
 [12]]"	18877.379999999997	9.9610468009022e-05	0.11337158074053769
199	"[[ 0]
 [ 7]
 [ 9]
 [13]]"	18900.11	9.9610468009022e-05	0.11317577490160756
200	"[[0]
 [7]
 [9]]"	14099.939999999999	9.9610468009022e-05	0.1271171506334319
201	"[[ 0]
 [ 7]
 [10]
 [11]]"	18544.25	9.9610468009022e-05	0.15202365334534276
202	"[[ 0]
 [ 7]
 [10]
 [12]]"	18586.37	9.9610468009022e-05	0.11507509153922969
203	"[[ 0]
 [ 7]
 [10]
 [13]]"	18631.78	9.9610468009022e-05	0.11764014802921423
204	"[[ 0]
 [ 7]
 [10]]"	13858.0	9.9610468009022e-05	0.13708366783497483
205	"[[ 0]
 [ 7]
 [11]
 [12]]"	18774.86	9.9610468009022e-05	0.11466389927747646
206	"[[ 0]
 [ 7]
 [11]
 [13]]"	18802.53	9.9610468009022e-05	0.11599537898220125
